domain,n_draws,CL_lev_mean,CL_lev_sd,CL_lev_ci_lo,CL_lev_ci_hi,CL_bal_mean,CL_bal_sd,CL_bal_ci_lo,CL_bal_ci_hi,CKA_dna_rna_mean,CKA_dna_rna_sd,CKA_dna_rna_ci_lo,CKA_dna_rna_ci_hi,CKA_rna_case_mean,CKA_rna_case_sd,CKA_rna_case_ci_lo,CKA_rna_case_ci_hi,CKA_dna_case_mean,CKA_dna_case_sd,CKA_dna_case_ci_lo,CKA_dna_case_ci_hi,Coh_rate,CL_lev_min,CL_bal_min
RLV,50,0.7039278445782845,0.01945398588080316,0.673118257622378,0.7376856854592625,0.8255044598173279,0.029952189189505454,0.7608754962889995,0.8767085009250395,0.7171608422206229,0.028275964496335324,0.6692459151841281,0.7654777193224311,0.633820930321487,0.024980913338443964,0.5903661621114351,0.6778962688608096,0.7678067383527134,0.014320003893879501,0.7375386659221322,0.7876031161987002,0.52,0.6727834128078877,0.7588459176468136
Healthcare,50,0.7196732113157462,0.019217194352077853,0.6772723374925682,0.7507811504453227,0.8381541671883654,0.0314216543434134,0.7734792727656651,0.880921611442622,0.7398321805031088,0.022945835490098442,0.696613454747432,0.7749537557077572,0.650549436856586,0.027550508986213727,0.5974606258457211,0.6889841922529706,0.7748902912323018,0.017715344202966377,0.7371408632113458,0.799703772317486,0.76,0.6740965667801131,0.7564869763101127
