k,domain,width_x_halfwidth,shapley_local_vs_cf,lime_local_vs_cf,shapley_vs_lime
5,Healthcare,0.5,0.9066666666666666,0.8866666666666667,0.8666666666666667
5,Healthcare,1.0,0.76,0.88,0.74
5,Healthcare,2.0,0.3666666666666666,0.6933333333333334,0.3333333333333333
5,Healthcare,4.0,0.22,0.4333333333333333,0.2866666666666667
6,RLV,0.25,0.8266666666666667,0.8666666666666667,0.8133333333333334
6,RLV,0.5,0.8466666666666667,0.8333333333333334,0.9066666666666666
6,RLV,1.0,0.6733333333333333,0.7866666666666666,0.64
6,RLV,2.0,0.4066666666666667,0.6133333333333333,0.3066666666666666
6,RLV,4.0,0.1933333333333333,0.3,0.28
6,Healthcare,0.25,0.8666666666666667,0.84,0.84
6,Healthcare,0.5,0.8666666666666667,0.8733333333333333,0.8533333333333334
6,Healthcare,1.0,0.6933333333333334,0.8333333333333334,0.6533333333333333
6,Healthcare,2.0,0.32,0.6866666666666666,0.3133333333333333
6,Healthcare,4.0,0.2733333333333333,0.2733333333333333,0.2666666666666666
7,RLV,0.25,0.8533333333333334,0.9,0.8666666666666667
7,RLV,0.5,0.8666666666666667,0.9066666666666666,0.8466666666666667
7,RLV,1.0,0.7266666666666667,0.8933333333333333,0.7333333333333333
7,RLV,2.0,0.3733333333333333,0.68,0.28
7,RLV,4.0,0.1866666666666666,0.3266666666666666,0.2866666666666667
7,Healthcare,0.25,0.8466666666666667,0.9,0.8666666666666667
7,Healthcare,0.5,0.8466666666666667,0.8866666666666667,0.8866666666666667
7,Healthcare,1.0,0.7533333333333333,0.82,0.6933333333333334
7,Healthcare,2.0,0.4133333333333333,0.6933333333333334,0.3666666666666666
7,Healthcare,4.0,0.28,0.3133333333333333,0.2733333333333333
8,RLV,0.25,0.8466666666666667,0.8533333333333334,0.9
8,RLV,0.5,0.8266666666666667,0.8466666666666667,0.9
8,RLV,1.0,0.7133333333333334,0.8133333333333334,0.6733333333333333
8,RLV,2.0,0.4,0.5866666666666667,0.37333333333333335
8,RLV,4.0,0.32666666666666666,0.26,0.24666666666666667
8,Healthcare,0.25,0.8333333333333334,0.8733333333333333,0.84
8,Healthcare,0.5,0.8733333333333333,0.88,0.84
8,Healthcare,1.0,0.66,0.7933333333333333,0.66
8,Healthcare,2.0,0.3933333333333333,0.64,0.36
8,Healthcare,4.0,0.24,0.32,0.22
9,RLV,0.25,0.8266666666666667,0.88,0.86
9,RLV,0.5,0.8333333333333334,0.88,0.8733333333333333
9,RLV,1.0,0.6933333333333334,0.84,0.7066666666666667
9,RLV,2.0,0.29333333333333333,0.62,0.24
9,RLV,4.0,0.23333333333333334,0.29333333333333333,0.31333333333333335
9,Healthcare,0.25,0.86,0.8866666666666667,0.8333333333333334
9,Healthcare,0.5,0.84,0.88,0.8066666666666666
9,Healthcare,1.0,0.6666666666666666,0.82,0.6133333333333333
9,Healthcare,2.0,0.34,0.5533333333333333,0.28
9,Healthcare,4.0,0.22666666666666666,0.2733333333333333,0.2733333333333333
10,RLV,0.25,0.8066666666666666,0.8866666666666667,0.86
10,RLV,0.5,0.8333333333333334,0.9,0.8666666666666667
10,RLV,1.0,0.7,0.8266666666666667,0.7333333333333333
10,RLV,2.0,0.34,0.6666666666666666,0.3333333333333333
10,RLV,4.0,0.24666666666666667,0.30666666666666664,0.23333333333333334
10,Healthcare,0.25,0.88,0.9,0.9066666666666666
10,Healthcare,0.5,0.8733333333333333,0.9066666666666666,0.9066666666666666
10,Healthcare,1.0,0.7533333333333333,0.8666666666666667,0.76
10,Healthcare,2.0,0.34,0.5733333333333334,0.30666666666666664
10,Healthcare,4.0,0.26666666666666666,0.3,0.28
11,RLV,0.25,0.82,0.8466666666666667,0.8466666666666667
11,RLV,0.5,0.82,0.8533333333333334,0.82
11,RLV,1.0,0.68,0.7666666666666667,0.6133333333333333
11,RLV,2.0,0.38,0.6333333333333333,0.32666666666666666
11,RLV,4.0,0.31333333333333335,0.36666666666666664,0.35333333333333333
11,Healthcare,0.25,0.8533333333333334,0.9,0.8466666666666667
11,Healthcare,0.5,0.8733333333333333,0.8866666666666667,0.84
11,Healthcare,1.0,0.7266666666666667,0.8066666666666666,0.6733333333333333
11,Healthcare,2.0,0.4,0.5933333333333334,0.36
11,Healthcare,4.0,0.3333333333333333,0.37333333333333335,0.32
12,RLV,0.25,0.8266666666666667,0.8533333333333334,0.8466666666666667
12,RLV,0.5,0.8466666666666667,0.8533333333333334,0.8666666666666667
