arm,k,domain,A_triad,TS_mean,SR_mean,Rel_mean,genesis_rmsd_vs_ref,Ag_agreement_vs_ref
mlp1_tanh_s018_r2,0,RLV,0.7144166899678185,0.9170841307457028,0.8700833333333334,0.8569376806519193,0.0,1.0
mlp1_tanh_s018_r2,0,Healthcare,0.7392001369700875,0.9171212450434396,0.8492500000000001,0.8555127216120547,0.0,1.0
mlp1_relu,0,RLV,0.7099121345535305,0.9169474055277292,0.879,0.8615818538449861,0.0505068998928573,0.9665587918015104
mlp1_relu,0,Healthcare,0.734492155244599,0.91692904842813,0.85725,0.8592557455057133,0.0551828764604773,0.9470124013528748
mlp2_tanh,0,RLV,0.7062501689165633,0.9171665602130596,0.8766666666666666,0.8590364071753896,0.0597654595907189,0.9449838187702264
mlp2_tanh,0,Healthcare,0.7372917504737079,0.9171996235328648,0.8509166666666667,0.8497058063438011,0.0264253519545497,0.971815107102593
mlp1_s009,0,RLV,0.7154900769886497,0.9177047729828488,0.8830833333333333,0.8667017352912509,0.0413789726709513,0.9546925566343042
mlp1_s009,0,Healthcare,0.7350898840752568,0.9171263699652452,0.8654999999999999,0.8593462356462217,0.0298819671388417,0.971815107102593
mlp1_s036,0,RLV,0.7043765568318486,0.9145294201151272,0.7824166666666668,0.8141780378908082,0.0776231904537632,0.8716289104638619
mlp1_s036,0,Healthcare,0.7440026225315407,0.916184366814306,0.8140000000000001,0.8368336499439127,0.0566896436445774,0.9447576099210824
mlp1_r1,0,RLV,0.713695324419672,0.9170385286920828,0.8720833333333333,0.8546786008910354,0.0116717990206223,0.9902912621359224
mlp1_r1,0,Healthcare,0.7407199787498421,0.9173461962505262,0.8578333333333333,0.8585584496335733,0.0152890951474545,0.9909808342728298
mlp1_r4,0,RLV,0.7110585532878249,0.9167621130443544,0.868,0.8555485121836034,0.0171666467862998,0.9816612729234088
mlp1_r4,0,Healthcare,0.7419662919924592,0.9173789783799694,0.8554166666666667,0.8527599696398344,0.0389072641964473,0.9695603156708004
attn1,0,RLV,0.7192947300303377,0.9179369769554856,0.8947499999999999,0.8691191577364313,0.0869717424587778,0.9147788565264292
attn1,0,Healthcare,0.7221802659468685,0.9159825156796068,0.8335833333333333,0.8427637474343328,0.0532736303150582,0.9481397970687712
mlp1_tanh_s018_r2,1,RLV,0.7412435799579796,0.918095218027186,0.9018333333333334,0.8783331471887701,0.0,1.0
mlp1_tanh_s018_r2,1,Healthcare,0.6806859854912864,0.9158301956560778,0.8192500000000001,0.8235076099970752,0.0,1.0
mlp1_relu,1,RLV,0.7377307625351334,0.9182566759737624,0.9028333333333332,0.8777357297486339,0.0651086207330592,0.9667774086378738
mlp1_relu,1,Healthcare,0.7002416196271106,0.9159878633428746,0.8335833333333333,0.8363026532193041,0.0578048214955699,0.9530054644808744
mlp2_tanh,1,RLV,0.7178364549593715,0.9157609252659058,0.8377500000000001,0.8422330659964341,0.1443870387124798,0.8560354374307863
