k,domain,method,reference,n,agree_with_counterfactual
9,RLV,shapley_vs_lime,pool,150,0.6266666666666667
9,RLV,shapley_vs_lime,local,150,0.8933333333333333
9,Healthcare,shapley,pool,150,0.25333333333333335
9,Healthcare,shapley,local,150,0.8266666666666667
9,Healthcare,lime,local,150,0.9133333333333333
9,Healthcare,lime,pool,150,0.3
9,Healthcare,shapley_vs_lime,pool,150,0.56
9,Healthcare,shapley_vs_lime,local,150,0.8533333333333334
10,RLV,shapley,pool,150,0.28
10,RLV,shapley,local,150,0.8066666666666666
10,RLV,lime,local,150,0.88
10,RLV,lime,pool,150,0.26
10,RLV,shapley_vs_lime,pool,150,0.6133333333333333
10,RLV,shapley_vs_lime,local,150,0.84
10,Healthcare,shapley,pool,150,0.23333333333333334
10,Healthcare,shapley,local,150,0.9133333333333333
10,Healthcare,lime,local,150,0.94
10,Healthcare,lime,pool,150,0.24
10,Healthcare,shapley_vs_lime,pool,150,0.68
10,Healthcare,shapley_vs_lime,local,150,0.9266666666666666
11,RLV,shapley,pool,150,0.26
11,RLV,shapley,local,150,0.8333333333333334
11,RLV,lime,local,150,0.86
11,RLV,lime,pool,150,0.36
11,RLV,shapley_vs_lime,pool,150,0.5066666666666667
11,RLV,shapley_vs_lime,local,150,0.8666666666666667
11,Healthcare,shapley,pool,150,0.2
11,Healthcare,shapley,local,150,0.82
11,Healthcare,lime,local,150,0.92
11,Healthcare,lime,pool,150,0.28
11,Healthcare,shapley_vs_lime,pool,150,0.5933333333333334
11,Healthcare,shapley_vs_lime,local,150,0.8333333333333334
12,RLV,shapley,pool,150,0.30666666666666664
12,RLV,shapley,local,150,0.8466666666666667
12,RLV,lime,local,150,0.8333333333333334
12,RLV,lime,pool,150,0.30666666666666664
12,RLV,shapley_vs_lime,pool,150,0.3933333333333333
12,RLV,shapley_vs_lime,local,150,0.8866666666666667
12,Healthcare,shapley,pool,150,0.21333333333333335
12,Healthcare,shapley,local,150,0.8666666666666667
12,Healthcare,lime,local,150,0.88
12,Healthcare,lime,pool,150,0.25333333333333335
12,Healthcare,shapley_vs_lime,pool,150,0.7533333333333333
12,Healthcare,shapley_vs_lime,local,150,0.86
13,RLV,shapley,pool,150,0.29333333333333333
13,RLV,shapley,local,150,0.82
