k,domain,method,reference,n,agree_with_counterfactual
46,Healthcare,shapley_vs_lime,pool,150,0.47333333333333333
46,Healthcare,shapley_vs_lime,local,150,0.8333333333333334
47,RLV,shapley,pool,150,0.21333333333333335
47,RLV,shapley,local,150,0.9266666666666666
47,RLV,lime,local,150,0.86
47,RLV,lime,pool,150,0.24
47,RLV,shapley_vs_lime,pool,150,0.4666666666666667
47,RLV,shapley_vs_lime,local,150,0.8666666666666667
47,Healthcare,shapley,pool,150,0.2866666666666667
47,Healthcare,shapley,local,150,0.8666666666666667
47,Healthcare,lime,local,150,0.9533333333333334
47,Healthcare,lime,pool,150,0.32666666666666666
47,Healthcare,shapley_vs_lime,pool,150,0.7
47,Healthcare,shapley_vs_lime,local,150,0.86
48,RLV,shapley,pool,150,0.17333333333333334
48,RLV,shapley,local,150,0.8466666666666667
48,RLV,lime,local,150,0.9066666666666666
48,RLV,lime,pool,150,0.18
48,RLV,shapley_vs_lime,pool,150,0.6333333333333333
48,RLV,shapley_vs_lime,local,150,0.88
48,Healthcare,shapley,pool,150,0.2866666666666667
48,Healthcare,shapley,local,150,0.8666666666666667
48,Healthcare,lime,local,150,0.9066666666666666
48,Healthcare,lime,pool,150,0.23333333333333334
48,Healthcare,shapley_vs_lime,pool,150,0.4666666666666667
48,Healthcare,shapley_vs_lime,local,150,0.8733333333333333
49,RLV,shapley,pool,150,0.36666666666666664
49,RLV,shapley,local,150,0.8
49,RLV,lime,local,150,0.8866666666666667
49,RLV,lime,pool,150,0.38666666666666666
49,RLV,shapley_vs_lime,pool,150,0.7533333333333333
49,RLV,shapley_vs_lime,local,150,0.8933333333333333
49,Healthcare,shapley,pool,150,0.22
49,Healthcare,shapley,local,150,0.8733333333333333
49,Healthcare,lime,local,150,0.8933333333333333
49,Healthcare,lime,pool,150,0.32
49,Healthcare,shapley_vs_lime,pool,150,0.32
49,Healthcare,shapley_vs_lime,local,150,0.84
