k,domain,gene_dropped,A_triad_mean,A_triad_std,TS_mean,SR,Rel,Rel_delta_vs_full,baseline_balanced_accuracy_mean,baseline_balanced_accuracy_std,baseline_f1_mean
0,RLV,S,0.6574457648813986,0.0,0.9179427401961797,0.8967499999999999,0.8577026012681265,0.0007649206162071431,0.5307683716774626,0.0,0.6108108108108108
0,RLV,A,0.7000228625053958,0.0,0.9202485167105603,0.8990833333333333,0.8723772356934467,0.015439555041527386,0.5510944829126647,0.0,0.7268292682926829
0,RLV,D,0.572213358455724,0.0,0.9148019320832894,0.9148333333333334,0.8318724881583028,-0.025065192493616495,0.5905182041545678,0.0,0.748792270531401
0,RLV,E,0.707232055704962,0.0,0.9182278543215987,0.8938333333333334,0.8728552665159375,0.015917585864018147,0.5822537413446505,0.0,0.7365853658536585
0,Healthcare,S,0.6843364026957636,0.0,0.9188307754642546,0.8950833333333332,0.8661481089702086,0.010635387358153836,0.6172356828193832,0.0,0.6920980926430518
0,Healthcare,A,0.7226080654863204,0.0,0.9187069868292763,0.8738333333333332,0.8727243788731929,0.017211657261138158,0.6312224669603523,0.0,0.6777777777777778
0,Healthcare,D,0.7264563737994442,0.0,0.9153447474589524,0.8773333333333333,0.8739562965062156,0.01844357489416093,0.5856277533039648,0.0,0.6775956284153005
0,Healthcare,E,0.7238521401904431,0.0,0.919699054440037,0.89275,0.8780239561131884,0.02251123450113368,0.5525330396475772,0.0,0.6792452830188679
1,RLV,S,0.6918811929607354,0.0,0.9202706441643647,0.9225833333333333,0.8754637633180529,-0.0028693838707172237,0.5222663139329806,0.0,0.706766917293233
1,RLV,A,0.7231620087590676,0.0,0.9207221060001138,0.9278333333333333,0.8865608229544402,0.008227675765670073,0.5792915931804821,0.0,0.6907216494845361
1,RLV,D,0.5911721960170474,0.0,0.9140238340960263,0.9216666666666665,0.8400620202273348,-0.03827112696143531,0.5490887713109935,0.0,0.6684073107049608
1,RLV,E,0.738126613210191,0.0,0.9192037201649625,0.9299166666666667,0.8912440987568905,0.012910951568120388,0.5443121693121693,0.0,0.6307277628032345
1,Healthcare,S,0.6335236879500575,0.0,0.9185053010853343,0.8682500000000001,0.8430868768792633,0.01957926688218814,0.5279022023142964,0.0,0.6925064599483204
1,Healthcare,A,0.6938760396369071,0.0,0.9163919126175206,0.8567500000000001,0.8591209566791886,0.03561334668211347,0.5538913773796192,0.0,0.7175572519083969
1,Healthcare,D,0.6923189503245668,0.0,0.9149428751661288,0.8530000000000001,0.857358203183993,0.033850593186917854,0.5989641657334827,0.0,0.7424242424242424
1,Healthcare,E,0.6573213366835419,0.0,0.9175945458784016,0.8603333333333333,0.8487383493494315,0.025230739352356313,0.5391937290033595,0.0,0.7236180904522613
2,RLV,S,0.6601965298161342,0.0,0.9172166689506496,0.8976666666666666,0.8586478141169736,0.02187212386680848,0.620066889632107,0.0,0.6847826086956522
