domain,n_seeds,tightening,n_gen1_mean,revoke_rate_mean,regeneration_success_rate_mean,random_redraw_success_rate_mean,SR_discard_mean,GC_discard_mean,SR_regenerate_mean,n_gen1_sd,revoke_rate_sd,regeneration_success_rate_sd,random_redraw_success_rate_sd,SR_discard_sd,GC_discard_sd,SR_regenerate_sd,Rel_baseline_mean,Rel_baseline_sd,Rel_discard_mean,Rel_discard_sd,Rel_regenerate_mean,Rel_regenerate_sd
RLV,5,0.05,198.0,0.29393939393939394,0.8540424096995768,0.05080075781227852,0.7060606060606062,0.706060606060606,0.9565656565656566,0.0,0.03241779098157821,0.04403763627391673,0.020150964647941923,0.03241779098157818,0.032417790981578216,0.014550363930189804,0.8996844050636877,0.0,0.7558222970231288,0.01734661645394654,0.8897364672903203,0.003372252646075582
Healthcare,5,0.05,197.0,0.3218274111675127,0.8669785067786584,0.04080721201389049,0.6781725888324874,0.6781725888324874,0.9573604060913705,0.0,0.018512266526711132,0.044930673214563684,0.03281885668799104,0.018512266526711132,0.018512266526711132,0.013236959198381014,0.9132130450982114,0.0,0.7519863901342454,0.010245088569226547,0.9033056797159749,0.0031238397381960427
