domain,n_gen1,n_kept_under_Cplus,n_revoked,revoke_rate,n_regenerated_admissible,regeneration_success_rate,SR_baseline_gen1,SR_discard,SR_regenerate,GC_baseline_gen1,GC_discard,GC_regenerate,Rel_A_baseline,Rel_B_discard,Rel_C_regenerate
RLV,198,142,56,0.2828282828282828,51,0.9107142857142857,1.0,0.7171717171717171,0.9747474747474747,1.0,0.7171717171717171,1.0,0.8996844050636877,0.7619066596159801,0.8939499867183732
Healthcare,197,145,52,0.2639593908629442,50,0.9615384615384616,1.0,0.7360406091370558,0.9898477157360406,1.0,0.7360406091370558,1.0,0.9132130450982114,0.7834711243563643,0.9108863687557975
