domain,arm,kind,A,TS,SR,GC,Rel,Rel_sd,dRel
Healthcare,baseline,-,0.7391443057686704,0.9171212450434396,0.84925,1.0,0.8554771412401643,0.0037194829536025156,0.0
Healthcare,candidate order,discriminant,0.7391443057686703,0.9171212450434396,0.84925,1.0,0.8554771412401643,0.0037194829536025156,0.0
Healthcare,context naming,discriminant,0.7391443057686704,0.9171212450434396,0.84925,1.0,0.8554771412401643,0.0037194829536025156,0.0
Healthcare,enforced admissibility,inflation,0.7435161573942396,0.9138764429244068,1.0,1.0,0.9078206836886252,0.003932205382138932,0.052343542448460956
Healthcare,instability,convergent,0.7391443057686704,0.8673792939902855,0.84925,1.0,0.8434941329310621,0.0035981510744316353,-0.01198300830910215
Healthcare,lineage,convergent,0.7391443057686704,0.9171212450434396,0.84925,0.7,0.782497429343244,0.0034021783977309893,-0.07297971189692032
Healthcare,misalignment,convergent,0.43125342203072775,0.8159478814464549,0.84925,1.0,0.7254456875412865,0.005843964903511842,-0.1300314536988778
Healthcare,quality scale,discriminant,0.7391443057686704,0.9171212450585517,0.84925,1.0,0.8554771412436655,0.003719482953617781,3.5011993304578937e-12
Healthcare,releasability,convergent,0.6711235410794932,0.9137176154171758,0.52875,1.0,0.6636842484573914,0.0030766126774494874,-0.1917928927827729
RLV,baseline,-,0.7107666361884947,0.9170841307457028,0.8700833333333333,1.0,0.8558270098280302,0.0031611341100960953,0.0
RLV,candidate order,discriminant,0.7107666361884946,0.9170841307457028,0.8700833333333333,1.0,0.8558270098280302,0.0031611341100960953,0.0
RLV,context naming,discriminant,0.7107666361884947,0.9170841307457028,0.8700833333333333,1.0,0.8558270098280302,0.0031611341100960953,0.0
RLV,enforced admissibility,inflation,0.716582757780295,0.9141734247199281,1.0,1.0,0.8995537088059964,0.003335704268743771,0.043726698977966216
RLV,instability,convergent,0.7107666361884947,0.866201806115291,0.8700833333333333,1.0,0.8435993104454799,0.0031536222971116283,-0.012227699382550306
RLV,lineage,convergent,0.7107666361884947,0.9170841307457028,0.8700833333333333,0.7,0.7828174510684487,0.002891461613309215,-0.07300955875958148
RLV,misalignment,convergent,0.42404649735368133,0.8238156512858849,0.8700833333333333,1.0,0.7317509544842533,0.009545896447533094,-0.12407605534377686
RLV,quality scale,discriminant,0.7107666361884947,0.9170841307607279,0.8700833333333333,1.0,0.8558270098315027,0.0031611341101089084,3.4725555764225646e-12
RLV,releasability,convergent,0.6296832118593922,0.9119486019533518,0.5529999999999999,1.0,0.6894304297478804,0.0028149993376419256,-0.1663965800801498
