domain,tightening,variance_pct,rel_gap_mean,rel_gap_sd,kappa_mean,kappa_sd
RLV,0.025,3,0.07108754323759606,0.0022235065604287816,0.828795609260449,0.03666461155730687
RLV,0.025,5,0.0720121781360595,0.00174192904586024,0.7365082194526669,0.12039026812304286
RLV,0.025,9,0.07201482992375141,0.0010279926532170472,0.6545496206154062,0.10548063269758091
RLV,0.025,15,0.07178190952197794,0.0017457060460212214,0.26930301513874955,0.20957161998965482
RLV,0.025,20,0.07178190952197794,0.0017457060460212214,0.3302320867468618,0.13123882531414197
RLV,0.025,25,0.07178189343041597,0.0017501259029417797,0.23429009199615977,0.2831372444968094
RLV,0.025,30,0.07246642391809024,0.0027076807704654858,0.2603578849785492,0.31199095200506394
RLV,0.05,3,0.13016775378774548,0.0035607186037154505,0.8653702940262195,0.09548109142453186
RLV,0.05,5,0.13202520165782325,0.003678249557497193,0.7258921203892611,0.11124496847380014
RLV,0.05,9,0.13180314952702027,0.002516003222476485,0.764058534644405,0.11564373124542907
RLV,0.05,15,0.1292478431726936,0.0015678329113766021,0.34718635166976913,0.18734527574304344
RLV,0.05,20,0.12995037623799602,0.0009761555239380168,0.3801302048262215,0.1970658995639525
RLV,0.05,25,0.12947530447941563,0.0026606212487089564,0.3527048182130076,0.28384124913422265
RLV,0.05,30,0.13040432321002224,0.0031631207263955728,0.2558815188233765,0.3136191397098649
RLV,0.075,3,0.2006479837160849,0.004212976941036285,0.8413833303555187,0.09127417920948017
RLV,0.075,5,0.20089905798124602,0.0030994369538909117,0.7352059003106513,0.022179541643906085
RLV,0.075,9,0.2006210771796048,0.006136581711747802,0.6365895692165714,0.13751132599421817
RLV,0.075,15,0.19751412033646756,0.003919531527844779,0.5893634763136453,0.07316306312909608
RLV,0.075,20,0.2004217742983177,0.0027507229253829753,0.1840481712816558,0.12501202555700677
RLV,0.075,25,0.20328037836023696,0.0038851928324843362,0.1327964546843209,0.2201029662794146
RLV,0.075,30,0.1996695467185979,0.005485838495557676,0.06453922944611099,0.16682741333470236
RLV,0.1,3,0.2882857189146824,0.005981309710184853,0.8893705107230485,0.06747292504522723
RLV,0.1,5,0.2868163249391481,0.002893755265935317,0.840766139485581,0.03873545536161285
RLV,0.1,9,0.28827170012282666,0.0067779431869691925,0.699988328176065,0.1872513206278506
RLV,0.1,15,0.2880782443073767,0.0021029124593493786,0.4853069352163112,0.23622400145446615
RLV,0.1,20,0.2857480313795771,0.007168158693845564,0.17114269149204508,0.23359715812202203
RLV,0.1,25,0.2887947680775322,0.005455272433376727,0.09949389825080691,0.1316063045417514
RLV,0.1,30,0.288074941136252,0.002613377192723703,0.19563000795060792,0.19633195561125186
RLV,0.125,3,0.34952476950726147,0.007897069745308176,0.819966679247293,0.05058444957200144
RLV,0.125,5,0.3468238969380879,0.007109061717217663,0.7423973760271216,0.04701633055482935
RLV,0.125,9,0.34724618165317367,0.01173977764161115,0.6391055805909719,0.07678724577769058
RLV,0.125,15,0.3446760422671237,0.004374923710797522,0.4153154556640567,0.2536371994254003
RLV,0.125,20,0.3490406074468857,0.0046589187061193554,0.3336029002764422,0.26063299858852307
RLV,0.125,25,0.34156951360515864,0.007983883920980948,0.37456893808150765,0.30351257706493806
RLV,0.125,30,0.3454982716787921,0.0045348954975225906,0.0966049380462238,0.229586955653133
RLV,0.15,3,0.4158125403591139,0.0069047847216619435,0.8022813644094547,0.05569284465305754
RLV,0.15,5,0.4121512452757517,0.006980859771245013,0.7657946489012322,0.15556520019873754
RLV,0.15,9,0.4260159667172189,0.01255522195691788,0.5193710501457999,0.10884790894266227
RLV,0.15,15,0.4197538965426757,0.006589976331056971,0.4208704261483788,0.22786743676085627
RLV,0.15,20,0.4168302975247011,0.005341924216933828,0.3026156377841015,0.10851226114315754
RLV,0.15,25,0.4254978435099394,0.00883707228755063,0.3011061195131702,0.2717081881198816
RLV,0.15,30,0.4184226159683576,0.007812775791867033,0.15804873363274155,0.1407602274160515
RLV,0.175,3,0.44256213684555135,0.013507921614604219,0.8212387278562716,0.05806535689915378
RLV,0.175,5,0.4649088173002722,0.017409665815429447,0.7855124263923512,0.13112164461207584
RLV,0.175,9,0.4601343080277208,0.02046893465509811,0.6221830322709222,0.1900142206872234
RLV,0.175,15,0.4553163796895888,0.015105451441030916,0.5362202514496321,0.15843296542106491
RLV,0.175,20,0.4503360600744859,0.008915980948084398,0.22490587421050065,0.25642313187074994
RLV,0.175,25,0.43411519239483265,0.015813296780335648,0.16439901009180516,0.11405632418848602
RLV,0.175,30,0.45782733832263045,0.002430770859496316,0.19740198849458493,0.1558495063412882
RLV,0.2,3,0.4402692728284669,0.0064820747220502,0.8424073196444674,0.01283016772436093
RLV,0.2,5,0.43452987285356653,0.021744500368906825,0.7471629387580079,0.054931240326521996
RLV,0.2,9,0.4355360130166804,0.018001937320518156,0.6029642679489016,0.08633854965160177
RLV,0.2,15,0.4295566523756703,0.021461459160814076,0.4416138161569143,0.19964634313259225
RLV,0.2,20,0.43764637403027046,0.01798914222316359,0.32915136612751567,0.20329377209549454
RLV,0.2,25,0.4276301223129579,0.01798826177295012,0.3979431251063042,0.13908537228549162
RLV,0.2,30,0.4317392509197881,0.021244502562276356,0.34328036448724886,0.27782424888125196
Healthcare,0.025,3,0.06638938394275176,0.0018536339897232124,0.8649680995601757,0.015218615897363402
Healthcare,0.025,5,0.06685831260294602,0.0017786928030044812,0.8458331187398421,0.06369842576561194
Healthcare,0.025,9,0.06756037040862731,0.0016539298176207935,0.6956169654608183,0.19372707225654226
Healthcare,0.025,15,0.06802929906882156,0.0010442701637250428,0.6408113886958686,0.11224132916093314
Healthcare,0.025,20,0.06686013371532581,0.0013338863571628566,0.3512877377437498,0.3343740523894132
Healthcare,0.025,25,0.06639210337463435,0.0011723220885218259,0.2290889505240858,0.30404079602671635
Healthcare,0.025,30,0.06732636730331139,0.0017318722175890145,0.09884488615290568,0.17655642569969868
Healthcare,0.05,3,0.1234058780721771,0.003087058003444102,0.8590101296739905,0.05199657808654039
Healthcare,0.05,5,0.1250696864247383,0.0008321768335879424,0.8244499240449048,0.08569233535251923
Healthcare,0.05,9,0.12293977842609431,0.0019451660728319518,0.7224745295030613,0.13643666619144956
Healthcare,0.05,15,0.12294069285642031,0.0017596272660464212,0.647987939352564,0.26175046945376895
Healthcare,0.05,20,0.12222298320768447,0.0027274728429633084,0.42935429444572026,0.2375394866404117
Healthcare,0.05,25,0.12269739106302421,0.0027862181688367523,0.4088225053352927,0.1795499800955451
Healthcare,0.05,30,0.12435941220061579,0.001792579559378443,0.3075577993112525,0.2869291473777314
Healthcare,0.075,3,0.19772805770239335,0.0018416224134592796,0.8880450002398541,0.05822019630104251
Healthcare,0.075,5,0.1989384473682798,0.002525307911017646,0.8522673563575808,0.058152597255642424
Healthcare,0.075,9,0.19599675060052385,0.004528489365221512,0.7205500164951746,0.07725976811992395
Healthcare,0.075,15,0.19721229226697573,0.004983584241346256,0.5651474043813522,0.1978890255149193
Healthcare,0.075,20,0.20087453396395985,0.0019718510202516894,0.3839807814137993,0.28992711563544504
Healthcare,0.075,25,0.19940288552234223,0.004619354836152269,0.3944575360401254,0.3459450946329628
Healthcare,0.075,30,0.19867918440009175,0.004356349145990139,0.20672392003868123,0.2490851937554161
Healthcare,0.1,3,0.29596041449145993,0.011135915671148609,0.9149983290534358,0.033626891820591844
Healthcare,0.1,5,0.2943352694501883,0.0021465482992840484,0.8936167556969773,0.033841161743748085
Healthcare,0.1,9,0.2945847121506766,0.003050882412798791,0.7508326495867371,0.1556834437044494
