eps,domain,detection_rate,false_flag_rate,attribution_rate,misattribution_rate,label_recovery_rate
0.05,RLV,0.7600348859240199,0.18272809135756984,0.993103448275862,0.11359413005989831,0.8786446242967981
0.05,Healthcare,0.8315469442837864,0.1605488799634136,0.9872210953346856,0.1742259618853675,0.9453823953823953
0.1,RLV,0.8042473787500983,0.1810305465213545,0.9797204968944099,0.11948126965611264,0.8974824571161975
0.1,Healthcare,0.8240952350618107,0.1566066077650723,0.9843517138599106,0.16951869747741308,0.9191162929327745
0.2,RLV,0.7626154976885029,0.18038472141418707,0.9754206205841459,0.12610336223502877,0.9019800234837099
0.2,Healthcare,0.839598178491238,0.1608943103257847,0.9838449250546614,0.17812568172311583,0.937425636786583
0.3,RLV,0.7600965281679241,0.17820070062949536,0.9876542018007642,0.126700489050292,0.8956576325968714
0.3,Healthcare,0.8734138191457156,0.15939919258818439,0.9835579227860162,0.18785429203835238,0.935259326091453
0.5,RLV,0.7669278149821706,0.1713867192465605,0.986910278362069,0.12279121226489649,0.8874232106300557
0.5,Healthcare,0.8613394632378576,0.15843662193633884,0.9861849357073103,0.19258304131369147,0.9474724985043869
