domain,sigma,A_triad_mean,A_triad_level,A_triad_balance,CKA_genesis_repair,CKA_genesis_case,CKA_repair_case,CL_level,CL_balance,balance_gap_CL_minus_Atriad,operating_point
RLV,0.0,0.8076240893713016,0.8063020940017177,0.8816918440286058,0.8736148949641135,0.770259127711766,0.7789982454380254,0.8112452032110324,0.7977523738352984,-0.08393947019330739,False
RLV,0.04,0.8012199615537292,0.7996161721985848,0.8692241620350669,0.8736148949641135,0.7593671750165345,0.7706778146805396,0.8059199325691596,0.8049802349163512,-0.06424392711871574,False
RLV,0.08,0.7821499805386928,0.7795509676004833,0.8354181979528389,0.8736148949641135,0.7298337812556783,0.7430012653962865,0.7868753066460263,0.8337960908445241,-0.0016221071083147853,False
RLV,0.12,0.7525657045702913,0.7479043794387872,0.7840422074577318,0.8736148949641135,0.6849509507156181,0.6991312680311423,0.7559110384764967,0.8367571184405247,0.052714910982792906,False
RLV,0.16,0.7144166899678192,0.7060794287068318,0.7183129999875277,0.8736148949641135,0.6275289360354613,0.6421062389038824,0.7149889986656441,0.834083877554196,0.11577087756666826,True
RLV,0.2,0.6711892337120028,0.6571370641220718,0.6443982268585565,0.8736148949641135,0.5629558892720988,0.576996916899796,0.6664965821146115,0.7803320898209082,0.13593386296235166,False
RLV,0.24,0.6258279519755187,0.6037374978397884,0.5672736816194192,0.8736148949641135,0.49557873778385486,0.5082902231785876,0.6127473956783938,0.6874129834516336,0.12013930183221444,False
RLV,0.32,0.537999826458747,0.49283053234622026,0.41792683510022316,0.8736148949641135,0.36510710814876585,0.37527747626336183,0.5008343372541223,0.5075262080926535,0.08959937299243032,False
RLV,0.5,0.41173078666527063,0.30562221414576773,0.2036801258610286,0.8736148949641135,0.1779379917603599,0.18363947327133842,0.3119883203557354,0.2483544881338082,0.0446743622727796,False
RLV,1.0,0.3216086351054977,0.12201990733746759,0.05157699458171679,0.8736148949641135,0.04505843070407116,0.04615257964830855,0.12618527071037447,0.062416865450677865,0.010839870868961078,False
Healthcare,0.0,0.8327523659874677,0.8316096177275426,0.8864921441382099,0.8941234698878545,0.7926334319451803,0.8115001961293682,0.8356603746105,0.8176048421919991,-0.06888730194621073,False
Healthcare,0.04,0.828242285423581,0.8269315724753958,0.8796888693619477,0.8941234698878545,0.7865504642956282,0.8040529220872603,0.8302126617617615,0.8261536581893636,-0.053535211172584085,False
Healthcare,0.08,0.8125304789589215,0.8105174943802584,0.8542772881693084,0.8941234698878545,0.7638293731443286,0.7796385938445816,0.8129741250471043,0.8531146760409509,-0.001162612128357443,False
Healthcare,0.12,0.7884018911035743,0.784976982096495,0.8146835814498403,0.8941234698878545,0.7284277107065957,0.7426544927162727,0.7868927603501125,0.8679587846742896,0.05327520322444923,False
Healthcare,0.16,0.7583359988305262,0.752556732236268,0.7653183296822035,0.8941234698878545,0.6842890805042288,0.6965954460994952,0.7536195972272723,0.8693143297449974,0.10399600006279397,True
Healthcare,0.2,0.7236927421414139,0.7143090151252786,0.7081342098731512,0.8941234698878545,0.6331594168780762,0.6437953396583108,0.7146048689143979,0.83960632542637,0.1314721155532188,False
Healthcare,0.24,0.6869183828577065,0.6725525933659776,0.647313781365135,0.8941234698878545,0.5787784443004225,0.5878532343848426,0.67242851701767,0.7666493738115907,0.11933559244645575,False
Healthcare,0.32,0.6105208877209733,0.5813034316295135,0.5211357776061828,0.8941234698878545,0.4659597297559454,0.4714794635191201,0.5800146728388843,0.6148804060765377,0.09374462847035492,False
Healthcare,0.5,0.47263917777346354,0.3943539682989874,0.29289406298168674,0.8941234698878545,0.26191060752979856,0.26188345590273754,0.39127117475844625,0.3415355665935005,0.04864150361181374,False
Healthcare,1.0,0.3577857983526525,0.19292465934184708,0.09964555046755841,0.8941234698878545,0.09013849982716439,0.08909542534293864,0.1908983395884308,0.11619388659164011,0.0165483361240817,False
