domain,n_seeds,metric,mean,sd,ci95,vmin,vmax
RLV,5,rel,0.8558270098280302,0.0031611341100960875,0.002770856216417917,0.8522458790176887,0.8600357706144908
RLV,5,a_triad,0.7107666361884947,0.010506087438649739,0.009208991670627966,0.6988987641204579,0.7248041846791247
RLV,5,ts,0.9170841307457028,0.0,0.0,0.9170841307457028,0.9170841307457028
RLV,5,sr,0.8700833333333333,1.2412670766236366e-16,1.0880185641326533e-16,0.8700833333333334,0.8700833333333334
RLV,10,rel,0.8575831350104035,0.003040543710818833,0.0018845485164916205,0.8522458790176887,0.8621453131698524
RLV,10,a_triad,0.7166201346769675,0.010137437241161772,0.006283248698540628,0.6988987641204579,0.7319417488142926
RLV,10,ts,0.9170841307457028,0.0,0.0,0.9170841307457028,0.9170841307457028
RLV,10,sr,0.8700833333333333,1.1702778228589004e-16,7.253457094217689e-17,0.8700833333333334,0.8700833333333334
RLV,25,rel,0.8569722363111703,0.0032178023244956787,0.001261378511202306,0.8520436875634294,0.8625618905833202
RLV,25,a_triad,0.7145899411895468,0.010725128235466218,0.004204250268302757,0.6982357579119706,0.7333574334334892
RLV,25,ts,0.9170841307457028,0.0,0.0,0.9170841307457028,0.9170841307457028
RLV,25,sr,0.8700833333333334,0.0,0.0,0.8700833333333334,0.8700833333333334
RLV,50,rel,0.8562920189801992,0.003404464148534115,0.0009436693168081036,0.850434591226485,0.8634881946994767
RLV,50,a_triad,0.712332248705794,0.011343165671674408,0.0031441651116928654,0.6929761688892918,0.7365127180279831
RLV,50,ts,0.9170841307457027,1.1214946133455537e-16,3.1086244689504386e-17,0.9170841307457028,0.9170841307457028
RLV,50,sr,0.8700833333333334,0.0,0.0,0.8700833333333334,0.8700833333333334
RLV,100,rel,0.8555551514932496,0.0036110359120459,0.0007077630387609964,0.8444972044176237,0.8634881946994767
RLV,100,a_triad,0.7098925595723018,0.011982028295230842,0.002348477545865245,0.6738255863094871,0.7365127180279831
RLV,100,ts,0.9170841307457032,3.3474483693592255e-16,6.560998803944082e-17,0.9170841307457028,0.9170841307457028
RLV,100,sr,0.8700833333333331,3.3474483693592255e-16,6.560998803944082e-17,0.8700833333333334,0.8700833333333334
RLV,200,rel,0.8553499850861804,0.0036073251268459207,0.0004999497555909251,0.8444972044176237,0.8645145369728522
RLV,200,a_triad,0.7092120922439904,0.011950745085660375,0.0016562887664992427,0.6738255863094871,0.7400206428838163
RLV,200,ts,0.917084130745703,2.2260180681725107e-16,3.085103643255179e-17,0.9170841307457028,0.9170841307457028
RLV,200,sr,0.8700833333333334,0.0,0.0,0.8700833333333334,0.8700833333333334
RLV,400,rel,0.855365836341312,0.003469760333534118,0.0003400365126863435,0.8444972044176237,0.8645145369728522
