domain,n_seeds,A_triad_mean,A_triad_std,baseline_balanced_accuracy_mean,baseline_balanced_accuracy_std,baseline_f1_mean,baseline_f1_std,Rel_mean,Rel_std,Rel_min,Rel_max
RLV,5,0.7161690591099192,0.0019410740303112415,0.5951976770158588,0.048231264084243164,0.7257455381188809,0.02671036075375939,0.8694530917243805,0.0005893754902921162,0.8687059482611023,0.8699142443377287
Healthcare,5,0.7494121338318231,0.007619675546000808,0.5534030837004404,0.0351638935632292,0.6909673143259306,0.03115374675325706,0.8740622960780519,0.0022232638304570057,0.8712882109866839,0.8766596052364568
