domain,n_misrouted,n_seeds,Xi_true_repaired_true_label,Xi_true_repaired_declared_label,misrouting_cost_mean,misrouting_cost_median,misrouting_cost_ci_lo,misrouting_cost_ci_hi,frac_cost_positive,p_matched,clip_bind_rate,n_unclipped,rho_cost_gap_unclipped,p_cost_gap_unclipped,median_cost_unclipped,n_clipped,rho_cost_gap_clipped,p_cost_gap_clipped,median_cost_clipped,rho_cost_gap_pooled,Xi_true_before_repair,frac_worsened_naive,p_naive,ctx_gap_attributed,ctx_gap_missed,n_attributed,n_missed_records
RLV,31,40,0.011865202559430193,0.02304855009168674,0.011183347532256544,0.003904868275985591,0.00035722929755682047,0.038387493311365276,1.0,9.313225746154785e-10,0.3870967741935484,19,0.7126673395365508,0.0006164379140063225,0.002796754948940664,12,0.7494859437714613,0.005011071086191452,0.022431565410660825,0.8316271906242583,0.03940982831903611,0.0967741935483871,1.9278377294540405e-07,0.0433198325750442,0.020301321986974437,4768,80
Healthcare,31,40,0.015558910286970484,0.042963178117482806,0.027404267830512308,0.02509157425090934,0.016202216797390322,0.04257172911588321,1.0,9.313225746154785e-10,0.967741935483871,1,,,,30,-0.3110855084191276,0.09426914703651273,0.025768124675579186,-0.4250247726282202,0.05327545538397497,0.25806451612903225,0.0014681089669466019,0.05133746005967697,0.030775615720717298,5081,88
