domain,A_triad_single_pass,A_triad_first_seed,A_triad_five_seed_mean,A_triad_five_seed_sd,TS_arithmetic,TS_geometric
RLV,0.7144166899678192,0.7144166899678192,0.7161690591099192,0.0019410740303112415,0.9170841307457028,0.9152520732672187
Healthcare,0.7583359988305262,0.7583359988305262,0.7494121338318231,0.007619675546000808,0.9171212450434396,0.9152392707739873
