domain,n,hold,ts_gm,ts_mr,ts_gm_hold,ts_mr_hold,ts_gm_fail,ts_mr_fail,disp_m,disp_r,disp_m_fail,disp_r_fail
RLV,927,0.8381877022653722,0.8792876066199465,0.9548028088960253,0.8630350899452254,0.958794701945711,0.963475642995002,0.9341248028986535,0.1334452162923153,0.046776803552289414,0.03752491514950972,0.06866069439550339
Healthcare,887,0.8320180383314544,0.879935883211416,0.9548720063309651,0.8632164954493874,0.9590276938776252,0.9627473474287118,0.9342888022407971,0.1326919151391804,0.046647691937772,0.038292047376683624,0.0685141416296608
