domain,n,Ag,Disc,AR,TS_pass,Aimm,blocked_by_disclosure,blocked_by_immune,eq215_violations,event_level_AR,event_level_Aimm
RLV,927,0.8683926645091694,0.866235167206041,0.7540453074433657,0.9514563106796117,0.7292340884573895,0.11434735706580366,0.02481121898597627,0,0.855,0.85
Healthcare,887,0.8511837655016911,0.8117249154453213,0.6910935738444194,0.9481397970687712,0.6696730552423901,0.1600901916572717,0.02142051860202931,0,0.81,0.81
