domain,n_corrupted,n_correct,null_median,corrupted_median,auc,youden_xi,youden_detection,youden_false_flag,null_p95
RLV,3283,12817,0.013923163423153213,0.052612052789487676,0.8615582302203865,0.031922305764411026,0.7435272616509291,0.15697901224935631,0.051456443369424114
Healthcare,3042,12058,0.012823650697264348,0.06497985935578673,0.9328901924720852,0.026934837092731832,0.8974358974358975,0.18908608392768286,0.04937638564361025
