domain,n_repair_stage,proceed,context_review,quarantine_repair,inadmissible,proceed_pct,context_review_pct,quarantine_repair_pct,inadmissible_pct,repair_n_quarantined,repair_Xi_before,repair_Xi_after,repair_Xi_reduction,repair_resolved_below_xi,repair_remains_feasible
RLV,927,658,17,130,122,0.7098166127292341,0.018338727076591153,0.14023732470334413,0.13160733549083065,130,0.04439874376623901,0.013354166786264525,0.6992219677075844,1.0,1.0
Healthcare,887,633,21,101,132,0.713641488162345,0.02367531003382187,0.11386696730552424,0.1488162344983089,101,0.04176427040543207,0.012411296305617646,0.7028250180086141,1.0,1.0
