domain,gene_dropped,metric,full_mean,full_std,ablated_mean,ablated_std,mean_diff,diff_sd,ci_lo,ci_hi,t_stat,p_value,cohens_dz,significant_p05,holm_significant
RLV,S,A_triad,0.7161690591099192,0.0019410740303112415,0.6725632137701776,0.011457988122981698,-0.043605845339741676,0.010603098084325783,-0.0567713305004723,-0.030440360179011056,-9.195957032609577,0.000776746005128712,-4.112557008616452,True,True
RLV,S,baseline,0.5951976770158588,0.048231264084243164,0.5110118382845655,0.04142137716064013,-0.08418583873129325,0.06043926918277796,-0.15923110335329488,-0.009140574109291616,-3.1146183713228357,0.03571194771340448,-1.3928996804495084,True,False
RLV,A,A_triad,0.7161690591099192,0.0019410740303112415,0.7193599813385794,0.01252102084253309,0.0031909222286600203,0.01113887908035454,-0.010639822905761263,0.017021667363081305,0.6405598770510964,0.5566624338738383,0.2864670857490318,False,False
RLV,A,baseline,0.5951976770158588,0.048231264084243164,0.5813044449408086,0.03288620400822958,-0.013893232075050287,0.04123539370488534,-0.06509373589016454,0.03730727174006396,-0.7533870434056836,0.49313377393815405,-0.33692492848453864,False,False
RLV,D,A_triad,0.7161690591099192,0.0019410740303112415,0.5859717036763887,0.011342405966042053,-0.13019735543353056,0.011256197194088257,-0.14417377024611217,-0.11622094062094894,-25.863986941609124,1.3275581882336713e-05,-11.566726594120977,True,True
RLV,D,baseline,0.5951976770158588,0.048231264084243164,0.601429528702256,0.053270138175602055,0.006231851686397149,0.0434848154497375,-0.04776167812607672,0.06022538149887102,0.3204531019014557,0.7646670611198765,0.14331098389046443,False,False
RLV,E,A_triad,0.7161690591099192,0.0019410740303112415,0.7115958999425979,0.01322338883850644,-0.004573159167321439,0.012062583330743514,-0.01955083461443851,0.01040451627979563,-0.8477367152353401,0.44433146032774756,-0.37911938445772037,False,False
RLV,E,baseline,0.5951976770158588,0.048231264084243164,0.5864529819075274,0.033028465076365365,-0.008744695108331446,0.023129574387531604,-0.03746385491910532,0.019974464702442428,-0.8453995900278986,0.44549238152174975,-0.37807419029056694,False,False
Healthcare,S,A_triad,0.7494121338318231,0.007619675546000808,0.6597553410379349,0.009897308794557157,-0.0896567927938883,0.014145954141270832,-0.10722131477134574,-0.07209227081643087,-14.172157023106049,0.00014392227254058786,-6.337981298293237,True,True
Healthcare,S,baseline,0.5534030837004404,0.0351638935632292,0.5738546255506607,0.052541977023990535,0.020451541850220245,0.02689702065397851,-0.012945520354767932,0.05384860405520842,1.7002268916728487,0.16431124735465685,0.760364581390732,False,False
Healthcare,A,A_triad,0.7494121338318231,0.007619675546000808,0.70360026831304,0.015422860159787246,-0.045811865518783176,0.014856448201218031,-0.06425858239141467,-0.027365148646151676,-6.8952177592272195,0.0023194762163700013,-3.083635125859168,True,True
Healthcare,A,baseline,0.5534030837004404,0.0351638935632292,0.5651762114537445,0.022715495249006037,0.011773127753303992,0.014123155817490095,-0.00576308636629551,0.029309341872903495,1.863996567366029,0.13577090517570467,0.8336046068913414,False,False
Healthcare,D,A_triad,0.7494121338318231,0.007619675546000808,0.7185427116854252,0.015589200662445806,-0.030869422146398075,0.009075433369372752,-0.042138061029245305,-0.019600783263550844,-7.605821511337292,0.0016036294658564564,-3.4014267848160746,True,True
Healthcare,D,baseline,0.5534030837004404,0.0351638935632292,0.5616409691629956,0.03325420422479049,0.008237885462555083,0.01861785688225998,-0.014879237151857306,0.03135500807696747,0.9893980817245625,0.37847679734865114,0.44247227350880275,False,False
Healthcare,E,A_triad,0.7494121338318231,0.007619675546000808,0.7123912360584639,0.009494697186536628,-0.03702089777335933,0.007011530011631921,-0.04572686216112791,-0.028314933385590754,-11.806445080028244,0.0002945670234840413,-5.280002754312219,True,True
Healthcare,E,baseline,0.5534030837004404,0.0351638935632292,0.49298458149779734,0.01873957012274243,-0.06041850220264315,0.023646165674362132,-0.08977909481606024,-0.031057909589226062,-5.713394716265145,0.004641980291548868,-2.555107793571398,True,True
