domain,Xi_before,Xi_repair_true,Xi_repair_declared,cost,ctx_gap,clipped
RLV,0.02635840553693985,0.008385923134486464,0.041926297694003675,0.03354037455951721,0.03838342901066133,True
RLV,0.027859583636641205,0.008901431900040935,0.011940453795296572,0.0030390218952556364,0.00841721152916736,True
RLV,0.0421030127357258,0.01343163994156388,0.03186967012381724,0.01843803018225336,0.03838342901066133,False
RLV,0.06029146137352401,0.015585773880243911,0.04317837220271514,0.027592598322471233,0.03838342901066133,True
RLV,0.03850324022745752,0.011314725258397444,0.014356973570131307,0.0030422483117338635,0.00841721152916736,False
RLV,0.021103721375405612,0.007302023194058061,0.00819406620255138,0.0008920430084933192,0.00841721152916736,False
RLV,0.03796055930273544,0.009650904745300741,0.016170377983236454,0.006519473237935712,0.017566067571441267,False
RLV,0.030919743555314468,0.008870712880401064,0.011509068589726631,0.0026383557093255672,0.00841721152916736,False
RLV,0.024089307843308365,0.008335186199355749,0.0111484601719458,0.0028132739725900517,0.00841721152916736,True
RLV,0.055104412602023686,0.01603475315480944,0.04041804880976798,0.02438329565495854,0.03838342901066133,True
RLV,0.03455838519855788,0.01024947122624566,0.03474467892722907,0.02449520770098341,0.051569522396934464,True
RLV,0.04793497929654342,0.013966233597420078,0.016870798859858156,0.002904565262438078,0.00841721152916736,False
RLV,0.023524407890610693,0.0069847545020356545,0.008330278248530231,0.0013455237464945766,0.00841721152916736,False
RLV,0.02335436352975084,0.007706223551658658,0.008897369249715311,0.0011911456980566535,0.00841721152916736,False
RLV,0.02230399673314194,0.006617580672922139,0.008131172105839973,0.0015135914329178343,0.00841721152916736,False
RLV,0.03144325798817466,0.010734399305897164,0.01545746025863757,0.004723060952740407,0.00841721152916736,True
RLV,0.04261535388013112,0.01360538985604172,0.0186235416146998,0.0050181517586580775,0.00841721152916736,False
RLV,0.03068272343170628,0.010494798596090819,0.014547651675268952,0.004052853079178133,0.00841721152916736,True
RLV,0.049809535384021296,0.01436066059993902,0.03484049576630212,0.0204798351663631,0.03838342901066133,True
