domain,n_misrouted,n_seeds,Xi_true_repaired_true_label,Xi_true_repaired_declared_label,misrouting_cost_mean,misrouting_cost_median,misrouting_cost_ci_lo,misrouting_cost_ci_hi,frac_cost_positive,p_matched,clip_bind_rate,n_unclipped,rho_cost_gap_unclipped,p_cost_gap_unclipped,median_cost_unclipped,n_clipped,rho_cost_gap_clipped,p_cost_gap_clipped,median_cost_clipped,rho_cost_gap_pooled,Xi_true_before_repair,frac_worsened_naive,p_naive,ctx_gap_attributed,ctx_gap_missed,n_attributed,n_missed_records
RLV,32,400,0.011853314000754542,0.0233571727891742,0.011503858788419655,0.003978860677581862,0.0003630133885773145,0.03822295305352633,1.0,4.656612873077393e-10,0.40625,19,0.7126673395365508,0.0006164379140063225,0.002796754948940664,13,0.7464200272921789,0.003381533910126968,0.02143970772947611,0.8414148145282897,0.03938948547358289,0.09375,1.4295801520347595e-07,0.04308336007152326,0.021470260938972016,48148,814
Healthcare,32,400,0.015398940618455129,0.04248623279233234,0.027087292173877203,0.024444144660034597,0.014974127439809085,0.042443366150648365,1.0,4.656612873077393e-10,0.9375,2,,,,30,-0.3110855084191276,0.09426914703651273,0.025768124675579186,-0.503475058581421,0.05253009688600304,0.25,0.0012352922931313515,0.05103211638008881,0.030846388510457148,51133,813
