domain,delta,adm_genesis,adm_mutation,adm_repair,dip,recovery,A_triad,TS,SR,Rel,operating_point
RLV,0.15,0.1272923408845739,0.07227615965480043,0.1866235167206041,0.05501618122977346,0.11434735706580366,0.7144166899678192,0.9170452077805491,0.18566666666666667,0.5905668557495317,False
RLV,0.16,0.14778856526429343,0.08845738942826321,0.22761596548004315,0.05933117583603022,0.13915857605177995,0.7144166899678192,0.9170452077805491,0.22549999999999998,0.6199722072579327,False
RLV,0.17,0.1790722761596548,0.1121898597626753,0.2707659115426106,0.06688241639697949,0.15857605177993528,0.7144166899678192,0.9170452077805491,0.26733333333333337,0.646917445216646,False
RLV,0.18,0.2168284789644013,0.12297734627831715,0.2998921251348436,0.09385113268608415,0.17691477885652646,0.7144166899678192,0.9170452077805491,0.29741666666666666,0.6643958481652535,False
RLV,0.19,0.24379719525350593,0.1413160733549083,0.33225458468176916,0.10248112189859762,0.19093851132686085,0.7144166899678192,0.9170452077805491,0.32975,0.6817604216299075,False
RLV,0.2,0.29341963322545844,0.1715210355987055,0.3786407766990291,0.12189859762675295,0.20711974110032363,0.7144166899678192,0.9170452077805491,0.37650000000000006,0.7047366043176273,False
RLV,0.21,0.32362459546925565,0.21035598705501618,0.4250269687162891,0.11326860841423947,0.2146709816612729,0.7144166899678192,0.9170452077805491,0.42316666666666664,0.7256270215667531,False
RLV,0.22,0.3592233009708738,0.23516720604099245,0.47572815533980584,0.12405609492988134,0.2405609492988134,0.7144166899678192,0.9170452077805491,0.47633333333333333,0.7474176131066377,False
RLV,0.23,0.389428263214671,0.2621359223300971,0.5275080906148867,0.12729234088457392,0.2653721682847896,0.7144166899678192,0.9170452077805491,0.5303333333333333,0.7677552866616673,False
RLV,0.24,0.42934196332254587,0.2891046386192017,0.5803667745415318,0.14023732470334416,0.29126213592233013,0.7144166899678192,0.9170452077805491,0.5808333333333333,0.7854136909318122,False
RLV,0.25,0.48759439050701187,0.3408845738942826,0.6289104638619202,0.14670981661272925,0.28802588996763756,0.7144166899678192,0.9170452077805491,0.6265833333333333,0.8004427845110825,False
RLV,0.26,0.5253505933117584,0.3656957928802589,0.6709816612729234,0.1596548004314995,0.3052858683926645,0.7144166899678192,0.9170452077805491,0.6679999999999999,0.8133541745027948,False
RLV,0.27,0.5620280474649406,0.39050701186623515,0.7087378640776699,0.17152103559870546,0.31823085221143477,0.7144166899678192,0.9170452077805491,0.7070000000000001,0.8249743350079434,False
RLV,0.28,0.5954692556634305,0.42934196332254587,0.7432578209277239,0.16612729234088458,0.313915857605178,0.7144166899678192,0.9170452077805491,0.7410833333333333,0.8347421545342368,False
RLV,0.29,0.6299892125134844,0.459546925566343,0.7691477885652643,0.17044228694714136,0.3096008629989213,0.7144166899678192,0.9170452077805491,0.7664166666666667,0.8417862343571345,False
RLV,0.3,0.6763754045307443,0.5339805825242718,0.7961165048543689,0.14239482200647247,0.2621359223300971,0.7144166899678192,0.9170452077805491,0.7955,0.8496608945028047,False
RLV,0.31,0.6957928802588996,0.5620280474649406,0.8209277238403452,0.133764832793959,0.25889967637540456,0.7144166899678192,0.9170452077805491,0.8216666666666665,0.8565633764783904,False
RLV,0.32,0.732470334412082,0.5825242718446602,0.8532901833872708,0.14994606256742182,0.27076591154261065,0.7144166899678192,0.9170452077805491,0.8542500000000001,0.8649317335311288,False
RLV,0.33,0.7540453074433657,0.6084142394822006,0.8683926645091694,0.1456310679611651,0.2599784250269688,0.7144166899678192,0.9170452077805491,0.8700833333333334,0.8689120035677609,True
RLV,0.34,0.7756202804746494,0.6343042071197411,0.895361380798274,0.14131607335490826,0.2610571736785329,0.7144166899678192,0.9170452077805491,0.8961666666666668,0.8753521059299133,False
RLV,0.35,0.8209277238403452,0.7076591154261057,0.9115426105717368,0.11326860841423947,0.2038834951456311,0.7144166899678192,0.9170452077805491,0.9141666666666667,0.8797148634549969,False
RLV,0.36,0.8403451995685005,0.7303128371089536,0.9201725997842503,0.11003236245954695,0.1898597626752967,0.7144166899678192,0.9170452077805491,0.9218333333333334,0.881553525114143,False
RLV,0.37,0.8576051779935275,0.7518878101402373,0.9266450916936354,0.10571736785329022,0.1747572815533981,0.7144166899678192,0.9170452077805491,0.9282499999999999,0.8830836090079919,False
RLV,0.38,0.8781014023732471,0.7702265372168284,0.9331175836030206,0.10787486515641864,0.16289104638619212,0.7144166899678192,0.9170452077805491,0.9341666666666667,0.8844874519219635,False
RLV,0.39,0.8910463861920173,0.7885652642934197,0.9406688241639698,0.1024811218985976,0.15210355987055013,0.7144166899678192,0.9170452077805491,0.9418333333333334,0.8862966313143359,False
RLV,0.4,0.9083063646170443,0.8155339805825242,0.9514563106796117,0.09277238403452004,0.13592233009708743,0.7144166899678192,0.9170452077805491,0.9533333333333333,0.8889898019553581,False
RLV,0.41,0.9169363538295577,0.8295577130528586,0.9590075512405609,0.0873786407766991,0.12944983818770228,0.7144166899678192,0.9170452077805491,0.9598333333333333,0.8905012664123829,False
RLV,0.42,0.9212513484358145,0.8532901833872708,0.9697950377562028,0.06796116504854366,0.11650485436893199,0.7144166899678192,0.9170452077805491,0.9700833333333333,0.892869206541574,False
RLV,0.43,0.9341963322545846,0.8640776699029126,0.9719525350593312,0.07011866235167208,0.10787486515641864,0.7144166899678192,0.9170452077805491,0.9717500000000001,0.8932524616440048,False
RLV,0.44,0.941747572815534,0.8759439050701187,0.9741100323624595,0.06580366774541535,0.09816612729234087,0.7144166899678192,0.9170452077805491,0.9735833333333334,0.8936734732688263,False
RLV,0.45,0.95361380798274,0.883495145631068,0.9773462783171522,0.07011866235167197,0.09385113268608414,0.7144166899678192,0.9170452077805491,0.9766666666666667,0.8943801993035408,False
RLV,0.46,0.9611650485436893,0.9018338727076591,0.9816612729234089,0.0593311758360302,0.07982740021574974,0.7144166899678192,0.9170452077805491,0.9814166666666666,0.8954656719412781,False
RLV,0.47,0.9633225458468176,0.9093851132686084,0.9838187702265372,0.053937432578209266,0.0744336569579288,0.7144166899678192,0.9170452077805491,0.9830833333333332,0.8958456056989257,False
RLV,0.48,0.9665587918015103,0.918015102481122,0.9848975188781014,0.04854368932038833,0.06688241639697945,0.7144166899678192,0.9170452077805491,0.9840833333333333,0.8960733341261726,False
RLV,0.49,0.9719525350593312,0.9255663430420712,0.9924487594390508,0.04638619201726002,0.06688241639697956,0.7144166899678192,0.9170452077805491,0.99225,0.8979266497840906,False
RLV,0.5,0.9762675296655879,0.9320388349514563,0.9935275080906149,0.0442286947141316,0.06148867313915851,0.7144166899678192,0.9170452077805491,0.9932499999999999,0.8981527993171399,False
RLV,0.51,0.9805825242718447,0.9374325782092773,0.9935275080906149,0.04314994606256739,0.056094929881337574,0.7144166899678192,0.9170452077805491,0.9932499999999999,0.8981527993171399,False
RLV,0.52,0.9816612729234089,0.9428263214670982,0.9946062567421791,0.03883495145631066,0.051779935275080846,0.7144166899678192,0.9170452077805491,0.99425,0.898378778149793,False
RLV,0.53,0.9838187702265372,0.9471413160733549,0.9956850053937433,0.03667745415318224,0.04854368932038833,0.7144166899678192,0.9170452077805491,0.9950833333333332,0.8985669636642402,False
RLV,0.54,0.9870550161812298,0.9471413160733549,0.9956850053937433,0.03991370010787487,0.04854368932038833,0.7144166899678192,0.9170452077805491,0.9950833333333332,0.8985669636642402,False
RLV,0.55,0.9956850053937433,0.9546925566343042,0.9967637540453075,0.04099244875943908,0.04207119741100329,0.7144166899678192,0.9170452077805491,0.9960833333333333,0.8987926303256184,False
