domain,A_triad,CKA_genesis_repair,CKA_genesis_context,CKA_repair_context,TS_mean,TS_genesis_to_mutation_mean,TS_mutation_to_repair_mean,SR_mean,GC_placeholder,Rel_mean,Rel_std,baseline_accuracy,baseline_balanced_accuracy,baseline_f1
RLV,0.7144166899678192,0.8736148949641135,0.6275289360354613,0.6421062389038824,0.9170841307457028,0.8792876066522011,0.954802808908897,0.8700833333333334,1.0,0.8569376806519196,0.1051889402043985,0.6308243727598566,0.5925843198570471,0.7518072289156627
Healthcare,0.7583359988305262,0.8941234698878545,0.6842890805042288,0.6965954460994952,0.9171212450434396,0.8799358832436943,0.9548720063439894,0.8492500000000001,1.0,0.8609964890072881,0.12256562450700316,0.5205992509363296,0.5018171806167401,0.6521739130434783
