track_id,g_S,g_A,g_D,g_E,context_label
1,0.18755662285069402,0.8648523263827813,0.4166666666666667,0.0,sparse_day
2,0.31558847928798844,0.9045535234778845,0.3333333333333333,0.0,sparse_day
3,0.0,1.0,0.4166666666666667,0.0,sparse_day
4,0.38755109683046146,0.911393281588103,0.25,0.0,sparse_day
5,0.523850047252952,0.950251681918425,0.4166666666666667,0.0,sparse_day
6,0.467545282404598,0.9796100621805706,0.4166666666666667,0.0,sparse_day
7,0.5757077922745346,1.0,0.4166666666666667,0.0,sparse_day
8,0.0,1.0,0.4166666666666667,0.0,sparse_day
9,0.38072039999737295,0.9728720889384872,0.6666666666666666,0.0,dense_day
10,0.2263803727089172,0.8581373332278439,0.5833333333333334,0.7741935483870968,dense_day
11,0.22112636908814973,0.8904637005280143,0.6666666666666666,0.8709677419354839,dense_day
12,0.46927566204332466,0.9306309200565608,0.4166666666666667,1.0,sparse_day
13,0.3148165703593622,0.8976442416300104,0.5,0.6129032258064516,dense_day
14,0.482016267593489,0.9132157996617518,0.5,1.0,dense_day
15,0.6064668853940263,0.5546344874021683,0.5833333333333334,1.0,dense_day
16,0.3347808417488352,0.9604774856545106,0.4166666666666667,1.0,sparse_day
17,0.33820974817751037,0.9388020372125409,0.16666666666666666,0.8709677419354839,sparse_day
18,0.42597371808278484,0.966214182480245,0.3333333333333333,1.0,sparse_day
19,0.46848445118682913,0.9208739872493262,0.4166666666666667,0.0,sparse_day
20,0.17205560264303502,0.9340061770335715,0.25,0.0,sparse_day
21,0.16786277236714472,0.7846774048695943,0.3333333333333333,1.0,sparse_day
22,0.18515065195893216,0.7837263057444704,0.08333333333333333,1.0,sparse_day
23,0.3350734789571605,0.9838934326726604,0.3333333333333333,0.0,sparse_day
24,0.18362634723172028,0.8382245918456923,0.5,1.0,dense_day
25,0.26474133125146493,0.9272031829134383,0.3333333333333333,0.0,sparse_day
26,0.17562037481150736,0.9032620797772813,0.5833333333333334,1.0,dense_day
27,0.6366472803207499,0.937849349241869,0.4166666666666667,1.0,sparse_day
28,0.6274108545992825,0.9031925479899957,0.75,1.0,dense_day
29,0.8826082380698448,0.9245200648651569,0.6666666666666666,1.0,dense_day
30,0.1851199257468205,0.8722223804790615,0.3333333333333333,0.9354838709677419,sparse_day
31,0.1580547862170942,0.8357506372198452,0.16666666666666666,1.0,sparse_day
32,0.2297517287072238,0.9718169546323733,0.4166666666666667,1.0,sparse_day
33,0.5720394487584101,0.9517001472098363,0.5,1.0,dense_day
34,0.29416683823134415,0.9016563956094509,0.3333333333333333,1.0,sparse_day
35,0.14055622117499794,0.889608567089936,0.5,0.0,dense_day
36,0.43891999951264193,0.9775716478532909,0.3333333333333333,1.0,sparse_day
37,0.14875907816957706,0.9558446064839837,0.3333333333333333,1.0,sparse_day
38,0.2562363763344046,0.9705972473186734,0.16666666666666666,1.0,sparse_day
39,0.2455170577172037,0.9433180183526881,0.25,0.0,sparse_day
40,0.4347331559320728,0.9903722429796233,0.6666666666666666,1.0,dense_day
41,0.3616465018327709,0.896810542049761,0.5833333333333334,0.6129032258064516,dense_day
42,0.28698796039029506,0.9660312692407479,0.4166666666666667,1.0,sparse_day
43,0.20914683876156073,0.8120007192348667,0.6666666666666666,1.0,dense_day
44,0.28319274730492977,0.7929331201597437,0.4166666666666667,1.0,sparse_day
45,0.3301508645187002,0.9587131878923462,1.0,0.0,dense_day
46,0.25193372177284423,0.8515517603734702,0.5,1.0,dense_day
47,0.3036952002711424,0.8983166983884986,0.6666666666666666,1.0,dense_day
48,0.3799562720636177,0.9151700135445349,0.75,1.0,dense_day
49,0.37671847727980734,0.9144268359998579,0.75,0.0,dense_day
50,0.14697705402783237,0.8720059667721143,0.6666666666666666,1.0,dense_day
51,0.26855539023146696,0.9260522994359299,0.75,0.0,dense_day
52,0.333155213419392,0.9686401909336344,0.5,1.0,dense_day
53,0.5511244542150796,0.9720508252114634,0.6666666666666666,1.0,dense_day
54,0.234563335715883,0.958824237859424,0.5833333333333334,1.0,dense_day
55,0.18257399669206098,0.76609908694212,0.6666666666666666,1.0,dense_day
56,0.40641526775657916,0.8755685184783468,0.4166666666666667,0.0,sparse_day
57,0.23680018836880784,0.9021185350022446,0.4166666666666667,0.0,sparse_day
58,0.4168070203100233,0.9671264952697967,0.5833333333333334,1.0,dense_day
59,0.24628058924528431,0.9587235033741779,0.5833333333333334,1.0,dense_day
60,0.537057294154875,0.7588071018131609,0.4166666666666667,1.0,sparse_day
61,0.2448181712413796,0.8611651864597472,0.5833333333333334,1.0,dense_day
62,0.240013516065729,0.6440766800928501,0.5833333333333334,0.8064516129032258,dense_day
63,0.2693181622626163,0.962514242276343,0.3333333333333333,1.0,sparse_day
64,0.13219999822421766,0.9463899846006589,0.6666666666666666,0.0,dense_day
65,0.4166695370646632,0.985834823654948,0.6666666666666666,1.0,dense_day
66,0.319957147788879,0.720534936714776,0.4166666666666667,1.0,sparse_day
67,0.16481640792121105,0.8607468742323542,0.5833333333333334,0.0,dense_day
68,0.10995915506125184,0.7603310832077073,0.5,0.0,dense_day
69,0.3778263292815599,0.9289961690922814,0.5,1.0,dense_day
70,0.3274378326626151,0.8687194433667421,0.5,0.0,dense_day
71,0.31970582555770016,0.9517201766324417,0.5833333333333334,0.0,dense_day
72,0.38809112271685453,0.9757421374257886,0.4166666666666667,1.0,sparse_day
73,0.42566983334729513,0.8472138647432418,0.6666666666666666,1.0,dense_day
74,0.22730929298174124,0.9684559387699891,0.4166666666666667,1.0,sparse_day
75,0.4488755151675508,0.9563835332641668,0.8333333333333334,1.0,dense_day
76,0.3518041314384515,0.9733531382404795,0.3333333333333333,1.0,sparse_day
77,0.3181137118845502,0.8539000331608406,0.4166666666666667,1.0,sparse_day
78,0.2959241541813659,0.8966067493849382,0.5,1.0,dense_day
79,0.2435253713716602,0.9200172087615933,0.3333333333333333,0.0,sparse_day
80,0.6037247827066419,0.7984868825583591,0.5833333333333334,1.0,dense_day
81,0.10351032681543737,0.8594440642850232,0.4166666666666667,0.0,sparse_day
