domain,n_feasible,n_mislabeled,detection_rate,false_flag_rate,attribution_rate,misattribution_rate,label_recovery_rate,missed_attribution_n,n_feasible_sd,n_mislabeled_sd,detection_rate_sd,false_flag_rate_sd,attribution_rate_sd,misattribution_rate_sd,label_recovery_rate_sd,missed_attribution_n_sd,n_corrupted_route,Xi_true_before_repair,Xi_true_after_repair,frac_worsened,n_control,control_Xi_true_before,control_Xi_true_after,control_frac_worsened
RLV,805.0,163.0,0.7626154976885029,0.18038472141418707,0.9754206205841459,0.12610336223502877,0.9019800234837099,3.0,0.0,9.460443964212251,0.02423428193650451,0.0017761243605672026,0.01718045542307027,0.01802962281409801,0.026232525273881476,2.0,3.0,0.03512083726162157,0.017982249765384224,0.08333333333333333,115.8,0.04481541102522905,0.013651988137984761,0.0
Healthcare,755.0,149.6,0.839598178491238,0.1608943103257847,0.9838449250546614,0.17812568172311583,0.937425636786583,2.0,0.0,7.26636084983398,0.03833368400594994,0.007288294832735782,0.009582898586061662,0.021723804903267058,0.031099114275835213,1.224744871391589,2.0,0.04529516792686536,0.03923195794514974,0.20833333333333331,97.4,0.045467868431783784,0.01345332433109186,0.0
