domain,n_nodes,n_shared_items,fleiss_kappa,mean_admissible_rate,unanimous_rate
RLV,4,150,0.9259390446136758,0.7783333333333333,0.9533333333333334
Healthcare,4,150,0.9581394599990335,0.7783333333333333,0.9733333333333334
