domain,proceed,quarantine_repair,inadmissible,Xi_mean
RLV,0.8683926645091694,0.0,0.13160733549083065,0.019922570720536485
Healthcare,0.8500563697857948,0.0011273957158962795,0.1488162344983089,0.01801223492716947
