domain,n_seeds,A_triad_mean,A_triad_sd,A_triad_ci_lo,A_triad_ci_hi,TS_mean_mean,TS_mean_sd,TS_mean_ci_lo,TS_mean_ci_hi,SR_mean_mean,SR_mean_sd,SR_mean_ci_lo,SR_mean_ci_hi,Rel_mean_mean,Rel_mean_sd,Rel_mean_ci_lo,Rel_mean_ci_hi,SR_zero_events_mean,SR_zero_events_sd,SR_zero_events_ci_lo,SR_zero_events_ci_hi,baseline_balanced_accuracy_mean,baseline_balanced_accuracy_sd,baseline_balanced_accuracy_ci_lo,baseline_balanced_accuracy_ci_hi,baseline_f1_mean,baseline_f1_sd,baseline_f1_ci_lo,baseline_f1_ci_hi
Healthcare,50,0.7163495727365508,0.0253593311730071,0.7093529885420836,0.7231076686499832,0.9159048345529628,0.0015817918900022,0.9154731612527158,0.9163298047438484,0.8232066666666666,0.0241399467579872,0.8165097083333333,0.8298368333333334,0.8363822125936463,0.0162939739494332,0.8317804412515353,0.840893577428267,4.48,2.0327923892909436,3.96,5.06,0.5595685118179394,0.0487164275315862,0.5462578383565098,0.5729966525807033,0.6944257254082055,0.041064630106611,0.682927970039177,0.7055349543575984
RLV,50,0.7021105561734906,0.0236024006188881,0.6957062596186607,0.7086856955863785,0.9158065945470132,0.0020199826708933,0.9152585615984764,0.9163504012905788,0.8550650000000002,0.0230997190670158,0.8488474583333333,0.8615267916666668,0.8457946982732758,0.0162599933272489,0.8414276534369295,0.8502685785813657,3.0,1.6536909861128892,2.54,3.46,0.5694775768041737,0.0493652200737505,0.5558798011484558,0.5827831355018924,0.7044596231583177,0.0418430633940489,0.6929463688216053,0.715723902950385
